STUDENT_ID;Khối Ngành;Chất Lượng Giảng Dạy;Cơ Sở Vật Chất;Học Liệu Số;Hỗ Trợ Việc Làm;Hoạt Động Ngoại Khóa
STUDENT1;CNTT - Kỹ Thuật;1.67;1.0;1.8;1.0;1.0
STUDENT2;CNTT - Kỹ Thuật;2.33;1.0;1.8;1.0;1.0
STUDENT3;CNTT - Kỹ Thuật;1.33;3.0;1.4;1.5;1.0
STUDENT4;CNTT - Kỹ Thuật;1.67;1.5;1.8;1.0;1.0
STUDENT5;CNTT - Kỹ Thuật;1.67;2.5;1.4;1.5;1.0
STUDENT6;CNTT - Kỹ Thuật;1.67;1.0;1.2;1.5;1.0
STUDENT7;CNTT - Kỹ Thuật;3.0;2.0;1.8;1.5;2.0
STUDENT8;CNTT - Kỹ Thuật;1.67;2.5;2.2;1.0;1.0
STUDENT9;CNTT - Kỹ Thuật;2.0;2.0;1.8;1.5;1.0
STUDENT10;CNTT - Kỹ Thuật;2.0;3.0;1.6;1.5;1.5
STUDENT11;CNTT - Kỹ Thuật;2.0;2.5;1.2;1.5;1.5
STUDENT12;CNTT - Kỹ Thuật;2.33;2.5;2.8;2.0;1.0
STUDENT13;CNTT - Kỹ Thuật;2.33;1.0;1.6;1.5;1.0
STUDENT14;CNTT - Kỹ Thuật;2.67;1.0;1.6;1.5;1.5
STUDENT15;CNTT - Kỹ Thuật;2.0;3.0;1.6;1.0;1.0
STUDENT16;CNTT - Kỹ Thuật;2.33;1.5;1.8;2.5;2.0
STUDENT17;CNTT - Kỹ Thuật;2.67;1.0;1.8;1.5;1.5
STUDENT18;CNTT - Kỹ Thuật;2.0;1.0;1.6;1.5;2.0
STUDENT19;CNTT - Kỹ Thuật;2.33;1.0;2.0;1.5;2.0
STUDENT20;CNTT - Kỹ Thuật;2.33;2.0;1.8;2.0;1.0
STUDENT21;CNTT - Kỹ Thuật;2.0;3.0;2.0;1.0;1.5
STUDENT22;CNTT - Kỹ Thuật;2.33;3.0;1.8;1.5;1.0
STUDENT23;CNTT - Kỹ Thuật;2.0;1.0;2.4;1.0;1.0
STUDENT24;CNTT - Kỹ Thuật;2.67;1.0;2.0;1.0;1.5
STUDENT25;CNTT - Kỹ Thuật;2.0;1.0;1.6;1.5;1.0
STUDENT26;CNTT - Kỹ Thuật;2.0;1.5;1.6;1.5;1.0
STUDENT27;CNTT - Kỹ Thuật;2.67;1.0;2.0;1.5;1.0
STUDENT28;CNTT - Kỹ Thuật;1.33;1.0;1.8;1.0;1.5
STUDENT29;CNTT - Kỹ Thuật;2.67;3.0;1.8;1.5;1.0
STUDENT30;CNTT - Kỹ Thuật;2.0;3.0;1.8;1.5;1.0
STUDENT31;CNTT - Kỹ Thuật;3.0;1.5;1.8;1.0;1.0
STUDENT32;CNTT - Kỹ Thuật;2.67;1.5;2.0;1.0;1.0
STUDENT33;CNTT - Kỹ Thuật;1.67;1.0;1.6;1.5;1.5
STUDENT34;CNTT - Kỹ Thuật;2.33;1.0;1.2;1.0;1.0
STUDENT35;CNTT - Kỹ Thuật;2.0;1.0;1.2;1.5;1.5
STUDENT36;CNTT - Kỹ Thuật;1.67;1.0;1.6;1.5;1.5
STUDENT37;CNTT - Kỹ Thuật;1.33;1.0;1.8;1.0;1.5
STUDENT38;CNTT - Kỹ Thuật;2.67;2.5;1.8;1.0;1.0
STUDENT39;CNTT - Kỹ Thuật;2.0;1.0;1.8;1.5;1.0
STUDENT40;CNTT - Kỹ Thuật;2.33;1.5;1.4;1.5;1.0
STUDENT41;CNTT - Kỹ Thuật;1.33;1.0;1.8;1.5;1.0
STUDENT42;CNTT - Kỹ Thuật;2.33;1.5;1.8;1.0;1.5
STUDENT43;CNTT - Kỹ Thuật;1.67;3.0;1.4;1.5;1.0
STUDENT44;CNTT - Kỹ Thuật;2.33;1.0;1.8;1.5;1.5
STUDENT45;CNTT - Kỹ Thuật;1.67;1.0;2.0;1.5;1.0
STUDENT46;CNTT - Kỹ Thuật;1.67;1.0;1.6;1.5;1.0
STUDENT47;CNTT - Kỹ Thuật;2.0;1.0;1.6;1.5;1.0
STUDENT48;CNTT - Kỹ Thuật;2.0;1.5;1.6;1.5;1.5
STUDENT49;CNTT - Kỹ Thuật;2.33;1.5;1.6;1.5;1.0
STUDENT50;CNTT - Kỹ Thuật;1.67;2.5;1.8;1.5;1.0
STUDENT51;Quản Trị - Kinh Tế;2.0;1.5;1.2;2.0;1.0
STUDENT52;Quản Trị - Kinh Tế;2.67;1.5;1.8;1.0;1.0
STUDENT53;Quản Trị - Kinh Tế;2.67;1.0;2.0;1.0;1.0
STUDENT54;Quản Trị - Kinh Tế;2.67;1.0;2.2;1.5;1.0
STUDENT55;Quản Trị - Kinh Tế;3.0;1.5;2.6;1.0;1.0
STUDENT56;Quản Trị - Kinh Tế;2.67;1.0;1.4;1.5;1.0
STUDENT57;Quản Trị - Kinh Tế;2.33;3.0;1.8;1.5;1.0
STUDENT58;Quản Trị - Kinh Tế;2.0;1.0;1.8;1.5;1.0
STUDENT59;Quản Trị - Kinh Tế;2.0;1.0;2.0;1.5;1.0
STUDENT60;Quản Trị - Kinh Tế;2.33;1.0;1.8;1.5;1.5
STUDENT61;Quản Trị - Kinh Tế;2.67;2.5;1.6;1.5;1.0
STUDENT62;Quản Trị - Kinh Tế;2.67;1.5;1.6;1.0;1.0
STUDENT63;Quản Trị - Kinh Tế;2.67;1.0;1.8;1.5;1.0
STUDENT64;Quản Trị - Kinh Tế;2.67;1.5;1.6;1.0;1.0
STUDENT65;Quản Trị - Kinh Tế;2.33;1.0;2.0;1.5;1.0
STUDENT66;Quản Trị - Kinh Tế;1.67;2.5;2.0;1.0;1.0
STUDENT67;Quản Trị - Kinh Tế;2.33;2.5;2.0;1.5;1.0
STUDENT68;Quản Trị - Kinh Tế;1.67;2.0;1.8;1.0;1.0
STUDENT69;Quản Trị - Kinh Tế;1.33;3.0;2.0;1.5;1.0
STUDENT70;Quản Trị - Kinh Tế;2.33;3.0;1.8;1.5;1.0
STUDENT71;Quản Trị - Kinh Tế;1.67;2.5;1.6;1.5;1.0
STUDENT72;Quản Trị - Kinh Tế;2.0;2.0;1.8;1.5;1.0
STUDENT73;Quản Trị - Kinh Tế;1.33;1.5;1.8;1.5;1.5
STUDENT74;Quản Trị - Kinh Tế;2.33;1.5;1.8;1.5;1.0
STUDENT75;Quản Trị - Kinh Tế;2.33;2.0;1.6;1.5;1.0
STUDENT76;Quản Trị - Kinh Tế;1.67;1.0;2.0;1.0;1.5
STUDENT77;Quản Trị - Kinh Tế;1.67;1.5;2.2;1.5;1.0
STUDENT78;Quản Trị - Kinh Tế;2.0;2.0;1.8;1.0;1.0
STUDENT79;Quản Trị - Kinh Tế;2.0;1.5;1.8;1.5;1.5
STUDENT80;Quản Trị - Kinh Tế;2.0;2.0;2.2;1.5;1.0
STUDENT81;Quản Trị - Kinh Tế;1.67;3.0;1.6;1.5;1.5
STUDENT82;Quản Trị - Kinh Tế;2.33;1.5;1.8;2.0;1.5
STUDENT83;Quản Trị - Kinh Tế;2.33;3.0;1.6;2.0;1.5
STUDENT84;Quản Trị - Kinh Tế;1.33;3.0;2.0;2.5;2.0
STUDENT85;Quản Trị - Kinh Tế;1.67;1.0;1.6;1.5;1.5
STUDENT86;Quản Trị - Kinh Tế;2.33;1.0;2.4;2.0;1.5
STUDENT87;Quản Trị - Kinh Tế;2.33;1.0;2.2;1.5;1.5
STUDENT88;Quản Trị - Kinh Tế;2.0;1.5;1.8;1.5;2.0
STUDENT89;Quản Trị - Kinh Tế;2.33;3.0;2.2;1.5;1.0
STUDENT90;Quản Trị - Kinh Tế;2.0;1.5;1.8;1.5;1.0
STUDENT91;Quản Trị - Kinh Tế;2.67;2.5;1.6;1.0;1.5
STUDENT92;Quản Trị - Kinh Tế;1.0;1.5;2.0;2.0;1.0
STUDENT93;Quản Trị - Kinh Tế;1.67;1.0;1.8;2.0;1.0
STUDENT94;Quản Trị - Kinh Tế;2.0;1.0;2.0;1.5;1.5
STUDENT95;Quản Trị - Kinh Tế;2.0;2.0;2.2;1.0;1.5
STUDENT96;Quản Trị - Kinh Tế;2.0;2.0;2.2;1.0;1.5
STUDENT97;Quản Trị - Kinh Tế;2.33;2.5;2.2;1.0;1.0
STUDENT98;Quản Trị - Kinh Tế;1.67;3.5;1.4;1.5;1.5
STUDENT99;Quản Trị - Kinh Tế;1.67;3.5;1.4;1.5;1.5
STUDENT100;Quản Trị - Kinh Tế;2.33;1.0;2.4;1.0;1.5
